ciudad,latitud,longitud
aguascalientes,21.8823395,-102.2825928
mexicalli,32.6278114,-115.4544601
lapaz,24.14437,-110.3005
campeche,19.8438606,-90.5255432
chihuahua,28.6352806,-106.0888901
tuxtlaGtz,16.7597294,-93.1130829
Saltillo,25.4232101,-101.0053024
colima,19.24997,-103.72714
victoriaDurango,24.0203209,-104.6575623
guanajuato,21.01858,-101.2591
chilpancingo,17.5506,-99.50578
cdmx,19.4284706,-99.1276627
pachuca,20.11697,-98.73329
guadalajara,20.66682,-103.39182
toluca,19.28786,-99.65324
morelia,19.70078,-101.18443
cuernavaca,18.9261,-99.23075
tepic,21.50951,-104.89569
monterrey,25.67507,-100.31847
oaxaca,17.06542,-96.72365
puebla,19.04334,-98.20193
queretaro,20.5880604,-100.3880615
chetumal,18.51413,-88.30381
Sanluis,22.14982,-100.97916
culiacan,24.79032,-107.38782
hermosillo,29.1026,-110.97732
villahermosa,17.98689,-92.93028
cuidadvictoria,23.74174,-99.14599
tlaxcala,19.31905,-98.19982
xalapa,19.53124,-96.91589
merida,20.97537,-89.61696
zacatecas,22.76843,-102.58141
